Category,Module_Name,File_Name,Role,File_Size_Bytes,Standardized_Path,Original_Source_Path
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,loc tren 0_MIR.ipt,Part,177152,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\loc tren 0_MIR.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\ong loc tren\loc tren 0_MIR.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,loc tren 1.ipt,Part,177664,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\loc tren 1.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\ong loc tren\loc tren 1.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,loc tren 1_MIR.ipt,Part,180224,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\loc tren 1_MIR.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\ong loc tren\loc tren 1_MIR.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,loc tren 1_MIR1.ipt,Part,178688,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\loc tren 1_MIR1.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\ong loc tren\loc tren 1_MIR1.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,loc tren 1_MIR2.ipt,Part,180224,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\loc tren 1_MIR2.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\ong loc tren\loc tren 1_MIR2.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,loc tren 1_MIR2_MIR.ipt,Part,182272,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\loc tren 1_MIR2_MIR.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\ong loc tren\loc tren 1_MIR2_MIR.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,loc tren 1_MIR3.ipt,Part,178688,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\loc tren 1_MIR3.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\ong loc tren\loc tren 1_MIR3.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,loc tren 1_MIR_MIR.ipt,Part,182272,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\loc tren 1_MIR_MIR.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\ong loc tren\loc tren 1_MIR_MIR.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,loc tren 2.ipt,Part,400896,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\loc tren 2.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\ong loc tren\loc tren 2.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,loc tren 2_MIR.ipt,Part,181760,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\loc tren 2_MIR.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\ong loc tren\loc tren 2_MIR.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,loc tren 2_MIR1.ipt,Part,180224,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\loc tren 2_MIR1.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\ong loc tren\loc tren 2_MIR1.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,loc tren 2_MIR_MIR.ipt,Part,182784,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\loc tren 2_MIR_MIR.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\ong loc tren\loc tren 2_MIR_MIR.ipt
